REGIJA,STEV_UCENCEV,VZROK,TRAJANJE
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Podravska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Gorenjska,srednje,Okužba s Covid-19 pri vzgojitelju,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Gorenjska,malo,Okužba s Covid-19 pri vzgojitelju,10 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Savinjska,malo,Sum na okužbo s Covid-19 pri učitelju,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,10 days
Podravska,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Gorenjska,srednje,Okužba s Covid-19 pri učitelju,9 days
Savinjska,malo,Sum na okužbo s Covid-19 pri učitelju,10 days
Savinjska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,13 days
Savinjska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,13 days
Savinjska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,13 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Savinjska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,13 days
Savinjska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,13 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Gorenjska,srednje,Okužba s Covid-19 pri učitelju,9 days
Podravska,veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,10 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Jugovzhodna Slovenija,zelo malo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Gorenjska,srednje,Okužba s Covid-19 pri učitelju,9 days
Podravska,zelo veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,7 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Savinjska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Podravska,srednje,Okužba s Covid-19 pri vzgojitelju,8 days
Savinjska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,13 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Gorenjska,veliko,Okužba s Covid-19 pri učitelju,9 days
Podravska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Podravska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Posavska,srednje,Okužba s Covid-19 pri drugem strokovnem delavcu,7 days
Posavska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,13 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Podravska,veliko,Okužba s Covid-19 pri drugem delavcu,10 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Goriška,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,11 days
Jugovzhodna Slovenija,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri učitelju,11 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,13 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Podravska,malo,Okužba s Covid-19 pri drugem delavcu,10 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,14 days
Posavska,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Posavska,srednje,Sum na okužbo s Covid-19 pri otroku ali več otrocih skupine,10 days
Podravska,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Podravska,zelo malo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Posavska,zelo malo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,13 days
Posavska,zelo malo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,13 days
Savinjska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,13 days
Primorsko-notranjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Gorenjska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri otroku ali več otrocih skupine,3 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri vzgojitelju,1 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri vzgojitelju,3 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri otroku ali več otrocih skupine,7 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,12 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri otroku ali več otrocih skupine,3 days
Gorenjska,veliko,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,14 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri otroku ali več otrocih skupine,3 days
Savinjska,malo,Okužba s Covid-19 pri učitelju,11 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri otroku ali več otrocih skupine,2 days
Podravska,veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Podravska,veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Savinjska,veliko,Okužba s Covid-19 pri učitelju,11 days
Gorenjska,zelo veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,3 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Koroška,srednje,Okužba s Covid-19 pri učitelju,5 days
Koroška,srednje,Okužba s Covid-19 pri drugem delavcu,5 days
Koroška,srednje,Okužba s Covid-19 pri drugem delavcu,5 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Savinjska,zelo veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,11 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Osrednjeslovenska,malo,Sum na okužbo s Covid-19 pri otroku ali več otrocih skupine,7 days
Koroška,srednje,Okužba s Covid-19 pri drugem delavcu,5 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri otroku ali več otrocih skupine,2 days
Savinjska,veliko,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,0 days
Savinjska,zelo veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,11 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,3 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,14 days
Gorenjska,zelo malo,Okužba s Covid-19 pri vzgojitelju,5 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,14 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Savinjska,malo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,3 days
Zasavska,srednje,Okužba s Covid-19 pri vzgojitelju,9 days
Gorenjska,veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,12 days
Podravska,srednje,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Pomurska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Goriška,srednje,Sum na okužbo s Covid-19 pri učitelju,10 days
Gorenjska,srednje,Okužba s Covid-19 pri drugem strokovnem delavcu,2 days
Savinjska,veliko,Okužba s Covid-19 pri učitelju,9 days
Savinjska,veliko,Okužba s Covid-19 pri otroku ali več otrocih skupine,4 days
Savinjska,srednje,Sum na okužbo s Covid-19 pri učitelju,4 days
Gorenjska,veliko,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,0 days
Gorenjska,zelo veliko,Sum na okužbo s Covid-19 pri drugem delavcu,0 days
Podravska,veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,12 days
Podravska,zelo veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Pomurska,veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,8 days
Savinjska,malo,Okužba s Covid-19 pri učitelju,12 days
Savinjska,malo,Okužba s Covid-19 pri učitelju,12 days
Gorenjska,veliko,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,0 days
Gorenjska,malo,Okužba s Covid-19 pri vzgojitelju,3 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Savinjska,zelo malo,Okužba s Covid-19 pri učitelju,12 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,4 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,3 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,10 days
Savinjska,malo,Okužba s Covid-19 pri učitelju,12 days
Koroška,zelo veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,6 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,0 days
Osrednjeslovenska,zelo malo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,14 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Podravska,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,10 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,10 days
Savinjska,srednje,Okužba s Covid-19 pri učitelju,7 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Savinjska,srednje,Sum na okužbo s Covid-19 pri učitelju,10 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri drugem delavcu,10 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učitelju,10 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učitelju,10 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri učitelju,9 days
Podravska,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri učitelju,10 days
Podravska,veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,14 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Jugovzhodna Slovenija,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Savinjska,srednje,Okužba s Covid-19 pri drugem strokovnem delavcu,5 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,2 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,4 days
Podravska,srednje,Okužba s Covid-19 pri drugem strokovnem delavcu,4 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učitelju,4 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,4 days
Koroška,srednje,Okužba s Covid-19 pri vzgojitelju,3 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učitelju,4 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,4 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učitelju,5 days
Osrednjeslovenska,zelo malo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri otroku ali več otrocih skupine,10 days
Gorenjska,veliko,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu,2 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,10 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učitelju,4 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učitelju,4 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,4 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,4 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri drugem strokovnem delavcu,8 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učitelju,5 days
Podravska,zelo malo,Okužba s Covid-19 pri učitelju,6 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učitelju,4 days
Osrednjeslovenska,zelo malo,Sum na okužbo s Covid-19 pri učitelju,5 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri učitelju,5 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,zelo malo,Sum na okužbo s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,4 days
Podravska,veliko,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Savinjska,zelo veliko,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Savinjska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri učitelju,5 days
Osrednjeslovenska,malo,Sum na okužbo s Covid-19 pri učitelju,5 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri učitelju,5 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učitelju,17 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,12 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,1 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,4 days
Gorenjska,zelo veliko,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,1 days
Savinjska,srednje,Okužba s Covid-19 pri učitelju,9 days
Savinjska,veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,5 days
Podravska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,14 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri drugem delavcu,9 days
Savinjska,malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Savinjska,srednje,Okužba s Covid-19 pri učitelju,9 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Gorenjska,srednje,Okužba s Covid-19 pri drugem delavcu,7 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,2 days
Savinjska,malo,Okužba s Covid-19 pri vzgojitelju,6 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,5 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,3 days
Savinjska,veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,3 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri drugem delavcu,3 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,6 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri vzgojitelju,3 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu,1 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri drugem strokovnem delavcu,6 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učitelju,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,0 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri vzgojitelju,5 days
Podravska,veliko,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učitelju,3 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učitelju,5 days
Podravska,zelo veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,6 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,6 days
Gorenjska,veliko,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,1 days
Pomurska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri drugem strokovnem delavcu,5 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učitelju,2 days
Savinjska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Savinjska,srednje,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,1 days
Podravska,srednje,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,6 days
Podravska,srednje,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,5 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri otroku ali več otrocih skupine,1 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Goriška,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Podravska,srednje,Okužba s Covid-19 pri učitelju,6 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,2 days
Gorenjska,veliko,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,0 days
Podravska,srednje,Okužba s Covid-19 pri vzgojitelju,6 days
Podravska,veliko,Okužba s Covid-19 pri učitelju,6 days
Podravska,srednje,Okužba s Covid-19 pri vzgojitelju,5 days
Podravska,zelo malo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Pomurska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Pomurska,srednje,Okužba s Covid-19 pri drugem delavcu,6 days
Koroška,srednje,Okužba s Covid-19 pri učitelju,5 days
Gorenjska,veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,3 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,6 days
Pomurska,malo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,2 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,10 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri vzgojitelju,8 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri vzgojitelju,10 days
Savinjska,malo,Okužba s Covid-19 pri drugem strokovnem delavcu,7 days
Osrednjeslovenska,zelo malo,Sum na okužbo s Covid-19 pri učitelju,3 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,3 days
Pomurska,zelo malo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,2 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Savinjska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,5 days
Posavska,srednje,Okužba s Covid-19 pri učitelju,7 days
Osrednjeslovenska,malo,Sum na okužbo s Covid-19 pri učitelju,3 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,0 days
