antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'2022-01'}),frozenset({'Karantena za celoten oddelek - pouk poteka na daljavo'}),0.2833751485540737,0.8065495840485937,0.2418240239447159,0.8533706119913016,1.0580510223657706,0.0132679157487193,1.319315442685544,0.07656166980223797
frozenset({'9 days'}),frozenset({'Karantena za celoten oddelek - pouk poteka na daljavo'}),0.3420925216778907,0.8065495840485937,0.2602667370923016,0.7608080288214102,0.9432873612089947,-0.015647843973135678,0.8087663436117967,-0.08373236590173071
frozenset({'Okužba s Covid-19 pri učencu ali več učencih oddelka'}),frozenset({'Karantena za celoten oddelek - pouk poteka na daljavo'}),0.5127866543421805,0.8065495840485937,0.49716096659183945,0.9695278969957083,1.2020685599129828,0.08357310382648375,6.34844322770111,0.3450248153649744
frozenset({'Karantena za celoten oddelek - pouk poteka na daljavo'}),frozenset({'Okužba s Covid-19 pri učencu ali več učencih oddelka'}),0.8065495840485937,0.5127866543421805,0.49716096659183945,0.6164047151277015,1.2020685599129828,0.08357310382648375,1.2701233953384388,0.8689601095050971
frozenset({'Osrednjeslovenska'}),frozenset({'Karantena za celoten oddelek - pouk poteka na daljavo'}),0.31242572296315857,0.8065495840485937,0.2402394471587658,0.7689489997182306,0.9533809389106354,-0.01174738974325093,0.8372628368433432,-0.0663957465724795
frozenset({'srednje'}),frozenset({'Karantena za celoten oddelek - pouk poteka na daljavo'}),0.34455741890047975,0.8065495840485937,0.2883929750429156,0.8369954011241697,1.0377482273597474,0.010490332147876646,1.1867788840655245,0.05549705146777225
frozenset({'veliko'}),frozenset({'Karantena za celoten oddelek - pouk poteka na daljavo'}),0.3681059905805713,0.8065495840485937,0.3332012852678375,0.9051775678584241,1.122283844366707,0.03630555167928218,2.0401334534698767,0.17243369491323313
frozenset({'Karantena za celoten oddelek - pouk poteka na daljavo'}),frozenset({'veliko'}),0.8065495840485937,0.3681059905805713,0.3332012852678375,0.41311940624317833,1.122283844366707,0.03630555167928218,1.0766994447276932,0.5632441693229521
frozenset({'srednje'}),frozenset({'Okužba s Covid-19 pri učencu ali več učencih oddelka'}),0.34455741890047975,0.5127866543421805,0.21312557771028653,0.6185487991824221,1.2062497998820128,0.036441131643532326,1.2772625819857373,0.2608684930680778
frozenset({'Okužba s Covid-19 pri učencu ali več učencih oddelka'}),frozenset({'srednje'}),0.5127866543421805,0.34455741890047975,0.21312557771028653,0.41562231759656654,1.2062497998820128,0.036441131643532326,1.1216078245901016,0.3509434212916024
frozenset({'veliko'}),frozenset({'Okužba s Covid-19 pri učencu ali več učencih oddelka'}),0.3681059905805713,0.5127866543421805,0.21981601302874246,0.5971541312925984,1.1645274428185874,0.031056173675617083,1.209428676086775,0.22358588456049752
frozenset({'Okužba s Covid-19 pri učencu ali več učencih oddelka'}),frozenset({'veliko'}),0.5127866543421805,0.3681059905805713,0.21981601302874246,0.42866952789699575,1.1645274428185874,0.031056173675617083,1.106004388482023,0.2899809340275095
"frozenset({'srednje', 'Okužba s Covid-19 pri učencu ali več učencih oddelka'})",frozenset({'Karantena za celoten oddelek - pouk poteka na daljavo'}),0.21312557771028653,0.8065495840485937,0.20665522250099036,0.969640644361834,1.2022083496647296,0.034758876448642534,6.372019823378975,0.2137538354474426
"frozenset({'srednje', 'Karantena za celoten oddelek - pouk poteka na daljavo'})",frozenset({'Okužba s Covid-19 pri učencu ali več učencih oddelka'}),0.2883929750429156,0.5127866543421805,0.20665522250099036,0.7165750915750916,1.397413691458756,0.058771153692945693,1.7190209158589302,0.39964796351815945
"frozenset({'Okužba s Covid-19 pri učencu ali več učencih oddelka', 'Karantena za celoten oddelek - pouk poteka na daljavo'})",frozenset({'srednje'}),0.49716096659183945,0.34455741890047975,0.20665522250099036,0.41567065073041165,1.2063900758743258,0.03535472307403853,1.1217005990180426,0.340229582248235
frozenset({'srednje'}),"frozenset({'Okužba s Covid-19 pri učencu ali več učencih oddelka', 'Karantena za celoten oddelek - pouk poteka na daljavo'})",0.34455741890047975,0.49716096659183945,0.20665522250099036,0.5997700562084824,1.206390075874326,0.03535472307403853,1.256375344244839,0.26101556293088685
frozenset({'Okužba s Covid-19 pri učencu ali več učencih oddelka'}),"frozenset({'srednje', 'Karantena za celoten oddelek - pouk poteka na daljavo'})",0.5127866543421805,0.2883929750429156,0.20665522250099036,0.4030042918454936,1.397413691458756,0.058771153692945693,1.191980135262406,0.5837120450084095
"frozenset({'veliko', 'Okužba s Covid-19 pri učencu ali več učencih oddelka'})",frozenset({'Karantena za celoten oddelek - pouk poteka na daljavo'}),0.21981601302874246,0.8065495840485937,0.21453409040890883,0.9759711653984782,1.210057242233575,0.03724157653335636,8.050761477177693,0.22250240619319112
"frozenset({'veliko', 'Karantena za celoten oddelek - pouk poteka na daljavo'})",frozenset({'Okužba s Covid-19 pri učencu ali več učencih oddelka'}),0.3332012852678375,0.5127866543421805,0.21453409040890883,0.6438573315719947,1.2556046966509997,0.04367291811389998,1.368028570708343,0.3052960209531837
"frozenset({'Okužba s Covid-19 pri učencu ali več učencih oddelka', 'Karantena za celoten oddelek - pouk poteka na daljavo'})",frozenset({'veliko'}),0.49716096659183945,0.3681059905805713,0.21453409040890883,0.431518370960602,1.172266635161296,0.03152616032362546,1.1115469298228389,0.292244121181505
frozenset({'veliko'}),"frozenset({'Okužba s Covid-19 pri učencu ali več učencih oddelka', 'Karantena za celoten oddelek - pouk poteka na daljavo'})",0.3681059905805713,0.49716096659183945,0.21453409040890883,0.582805213440153,1.1722666351612958,0.03152616032362546,1.2052859949534096,0.2325575954567785
frozenset({'Okužba s Covid-19 pri učencu ali več učencih oddelka'}),"frozenset({'veliko', 'Karantena za celoten oddelek - pouk poteka na daljavo'})",0.5127866543421805,0.3332012852678375,0.21453409040890883,0.4183690987124464,1.255604696651,0.04367291811389998,1.146429313257039,0.4178272130652977
